a_study,a_year,country,Q57_trust_people,Q58_trust_family,Q59_trust_neighborhood,Q60_trust_friends,Q61_trust_new_people,Q62_trust_people_another_religion,Q63_trust_foreigners,Q206_consume_internet,Q207_consume_socialmedia,Q240_placement_left_right,Q260_gender,Q262_age,Q263_native_Inmigrant
2,2018,BRA,1,3,3,3,2,4,1,1,1,-1,1,17,1
2,2018,BRA,1,3,1,2,2,2,2,5,5,5,1,42,1
2,2018,BRA,1,4,4,4,3,3,2,5,5,6,2,30,1
2,2018,BRA,1,3,2,3,4,2,3,1,1,7,2,69,1
2,2018,BRA,1,4,2,2,1,2,2,5,4,5,1,44,1
2,2018,BRA,1,3,2,3,2,3,3,5,5,5,2,19,1
2,2018,BRA,1,3,3,4,3,2,3,5,1,7,2,35,1
2,2018,BRA,1,3,1,4,2,3,1,1,1,-1,1,35,1
2,2018,BRA,1,4,2,3,1,3,-1,1,1,-1,2,78,1
2,2018,BRA,1,4,2,1,2,4,2,4,5,10,1,55,1
2,2018,BRA,1,4,2,2,2,2,-1,5,1,5,2,50,1
2,2018,BRA,1,3,4,3,1,3,3,1,1,-1,2,41,1
2,2018,BRA,1,2,1,3,1,2,2,1,1,-1,1,21,1
2,2018,BRA,1,3,3,3,1,3,2,5,5,8,1,26,1
2,2018,BRA,1,3,3,1,1,4,1,5,5,5,2,58,1
2,2018,BRA,1,4,3,3,2,3,-1,5,5,1,1,29,1
2,2018,BRA,1,1,3,1,1,-2,-2,5,-2,-2,2,60,1
2,2018,BRA,1,4,-1,3,1,-1,-1,5,5,5,1,23,1
2,2018,BRA,1,4,-1,4,1,3,3,5,5,10,1,18,1
2,2018,BRA,1,3,2,2,1,3,2,5,5,10,2,17,1
2,2018,BRA,1,3,2,1,1,2,1,5,5,-1,2,18,1
2,2018,BRA,1,4,3,3,1,3,3,5,1,5,2,36,1
2,2018,BRA,1,2,2,2,1,2,2,4,5,5,2,17,1
2,2018,BRA,1,4,2,2,1,4,4,5,5,5,2,62,1
2,2018,BRA,1,3,2,2,2,2,2,1,5,7,1,58,1
2,2018,BRA,1,4,1,2,1,3,1,5,5,3,2,17,1
2,2018,BRA,1,3,2,2,2,1,2,5,5,-1,2,48,1
2,2018,BRA,1,3,1,3,1,1,1,5,5,-2,2,26,1
2,2018,BRA,1,4,4,4,1,4,4,1,1,1,1,63,1
2,2018,BRA,1,4,3,3,3,3,3,3,5,5,1,25,1
2,2018,BRA,1,4,3,2,1,-5,-1,5,5,-2,2,40,1
2,2018,BRA,1,4,3,2,1,2,2,4,4,-2,1,30,1
2,2018,BRA,1,3,3,3,2,3,3,5,5,3,2,31,1
2,2018,BRA,1,4,2,3,1,-1,1,5,5,5,2,48,1
